Based on the provided causal relationships, we need to identify which variables have `pvsat` as a cause (i.e., `pvsat` appears on the left side of the "causes" relationship).

1.  **Review the provided causal relationships:**
    *   `hypovolemia` causes `lvedvolume`, `cvp`, `pcwp`, `strokevolume`, `co`, `bp`, `pap`, `hr`, `tpr`, `catechol`, `errlowoutput`, `pvsat`, `expco2`, `artco2`, `sao2`, `hrbp`, `hrekg`. (Here, `pvsat` is an **effect**).
    *   `errcauter` causes `bp`, `hr`.
    *   `anaphylaxis` causes `tpr`, `hr`.
    *   `pulmembolus` causes `pap`, `pvsat`. (Here, `pvsat` is an **effect**).
    *   `strokevolume` causes `co`, `bp`, `errlowoutput`.
    *   `bp` causes `hrbp`.

2.  **Search for `pvsat` as a cause:**
    *   Scanning the left side of all "causes" statements, `pvsat` does not appear as a cause in any of the listed relationships.
    *   `pvsat` only appears on the right side (as an effect) in the relationships for `hypovolemia` and `pulmembolus`.

3.  **Conclusion:**
    *   According to the specific causal graph provided in the text, there are no variables that are caused by `pvsat`. It acts as a leaf node in this network.

<Answer>None</Answer>
