dataset,tagA,tagB,consistency,support
Cancer,respiratory,disease,66,3
Earthquake,security_related,notification,100,3
Survey,personal_attribute,choice_dependent,100,4
Survey,personal_attribute,socioeconomic,100,4
Survey,socioeconomic,geographic,100,3
Survey,personal_attribute,human_capital,100,3
Survey,time_dependent,choice_dependent,80,5
Survey,choice_dependent,geographic,75,4
Survey,human_capital,choice_dependent,75,4
Survey,personal_attribute,time_dependent,75,4
Survey,time_dependent,socioeconomic,75,4
Survey,socioeconomic,choice_dependent,66,6
Survey,human_capital,socioeconomic,66,3
Survey,time_dependent,human_capital,66,3
Asia,lung-related,downstream effect,100,4
Asia,downstream effect,clinical observation,100,3
Asia,disease,downstream effect,100,3
Asia,exogenous,disease,100,3
Asia,exogenous,medical outcome,100,3
Asia,exogenous,respiratory,100,3
Asia,downstream effect,breathing,66,3
Asia,respiratory,derived,66,3
Asia,respiratory,lung-related,66,3
Asia,respiratory,downstream effect,60,5
Lucas,respiratory,symptom,100,5
Lucas,heritable,downstream_effect,100,4
Lucas,risk_factor,accident_related,100,3
Lucas,disease,downstream_effect,100,3
Lucas,disease,symptom,100,3
Lucas,heritable,symptom,100,3
Lucas,respiratory,downstream_effect,85,7
Lucas,risk_factor,health_outcome,80,5
Lucas,heritable,respiratory,80,5
Lucas,risk_factor,downstream_effect,71,7
Lucas,accident_related,health_outcome,66,3
Lucas,disease,respiratory,66,3
Lucas,risk_factor,disease,66,3
Lucas,health_outcome,downstream_effect,66,3
Lucas,energy_related,health_outcome,66,3
Lucas,heritable,energy_related,66,3
Lucas,respiratory,energy_related,66,3
Lucas,health_outcome,symptom,66,3
Lucas,downstream_effect,accident_related,60,5
Lucas,energy_related,downstream_effect,60,5
Lucas,downstream_effect,symptom,60,5
Lucas,heritable,risk_factor,60,5
Lucas,risk_factor,respiratory,60,5
Child,disease_mechanism,pathophysiology,100,8
Child,pathophysiology,measurement,100,7
Child,pathophysiology,oxygenation,100,7
Child,pathophysiology,blood_gas,100,6
Child,disease_mechanism,pulmonary,100,6
Child,etiology,disease_mechanism,100,5
Child,disease_mechanism,hemodynamic,100,5
Child,disease_mechanism,measurement,100,5
Child,disease_mechanism,true_physiological_state,100,5
Child,pathophysiology,oxygen_measurement,100,5
Child,disease_mechanism,oxygenation,100,4
Child,etiology,pathophysiology,100,4
Child,hemodynamic,oxygenation,100,4
Child,measurement,report,100,4
Child,neonatal,pathophysiology,100,4
Child,pathophysiology,true_physiological_state,100,4
Child,upstream_cause,pathophysiology,100,4
Child,true_physiological_state,report,100,4
Child,disease_mechanism,blood_gas,100,3
Child,blood_gas,downstream_observable,100,3
Child,disease_mechanism,cardiac,100,3
Child,etiology,cardiac,100,3
Child,neonatal,cardiac,100,3
Child,cardiac,oxygenation,100,3
Child,cardiac,pathophysiology,100,3
Child,upstream_cause,cardiac,100,3
Child,oxygenation,downstream_observable,100,3
Child,pathophysiology,downstream_observable,100,3
Child,etiology,hemodynamic,100,3
Child,neonatal,hemodynamic,100,3
Child,upstream_cause,hemodynamic,100,3
Child,oxygenation,measurement,100,3
Child,neonatal,pulmonary,100,3
Child,pulmonary,report,100,3
Child,upstream_cause,disease_mechanism,83,6
Child,measurement,downstream_observable,80,5
Child,true_physiological_state,downstream_observable,80,5
Child,pathophysiology,pulmonary,80,5
Child,pulmonary,blood_gas,75,4
Child,pulmonary,downstream_observable,75,4
Child,etiology,neonatal,75,4
Child,pulmonary,imaging,75,4
Child,neonatal,disease_mechanism,71,7
Child,blood_gas,measurement,66,3
Child,etiology,upstream_cause,66,3
Child,neonatal,patient_characteristic,66,3
Child,neonatal,symptom,66,3
Child,oxygenation,blood_gas,60,5
Child,hemodynamic,pathophysiology,60,5
Child,oxygenation,oxygen_measurement,60,5
Child,pulmonary,measurement,57,7
Child,pulmonary,true_physiological_state,57,7
Insurance,demographic,socioeconomic_dependent,100,7
Insurance,exogenous,vehicle_property,100,7
Insurance,exogenous,vehicle_related,100,7
Insurance,accident_related,downstream_consequence,100,6
Insurance,demographic,age_dependent,100,6
Insurance,age_dependent,risk_factor,100,6
Insurance,socioeconomic_dependent,theft_related,100,6
Insurance,vehicle_related,cost_outcome,100,5
Insurance,injury_related,downstream_consequence,100,5
Insurance,liability,downstream_consequence,100,5
Insurance,loss_event,downstream_consequence,100,5
Insurance,vehicle_property,monetary_value,100,5
Insurance,accident_related,cost_outcome,100,4
Insurance,accident_related,monetary_value,100,4
