PatientHistory: HISTORY
IntravascularVolumeStatus: HYPOVOLEMIA
LeftVentricularFailureState: LVFAILURE
LeftVentricularEndDiastolicVolume: LVEDVOLUME
CentralVenousPressure: CVP
PulmonaryCapillaryWedgePressure: PCWP
PulmonaryArteryPressure: PAP
SystemicVascularResistance: TPR
CardiacOutput: CO
StrokeVolume: STROKEVOLUME
HeartRate: HR
ArterialBloodPressure: BP
HeartRateFromBPMonitor: HRBP
HeartRateFromEKGMonitor: HREKG
HeartRateFromOxygenSaturationMonitor: HRSAT
MeasurementOrAlarmError: ERRLOWOUTPUT,ERRCAUTER
CatecholamineSupport: CATECHOL
AnesthesiaRelatedEvent: INSUFFANESTH
AllergicAnaphylacticEvent: ANAPHYLAXIS
PulmonaryVascularObstruction: PULMEMBOLUS
IntrapulmonaryShuntState: SHUNT
ExhaledCO2: EXPCO2
ArterialCO2: ARTCO2
MinuteVentilation: MINVOL
VentilatorMinuteVentilationSetting: MINVOLSET
InspiredOxygenFractionSetting: FIO2
ArterialOxygenSaturation: SAO2
PulmonaryVenousOxygenSaturation: PVSAT
AirwayPressure: PRESS
AirwayCircuitDisconnection: DISCONNECT
AirwayTubeKink: KINKEDTUBE
AirwayIntubationStatus: INTUBATION
VentilatorMachineStatus: VENTMACH
VentilatorTubeSubsystemStatus: VENTTUBE
VentilatorLungSubsystemStatus: VENTLUNG
VentilatorAlveolarSubsystemStatus: VENTALV
