Based on the provided causal relationships, we need to identify which variables are directly caused by `ast`.

1.  **Analyze the Causal Relationships:**
    *   `sex` causes `pbc`, `ama`, `alcoholism`.
    *   `pbc` causes `fibrosis`, `cirrhosis`, `bilirubin`, `phosphatase`, `cholesterol`, `itching`, `fatigue`, `jaundice`, `hepatomegaly`, `spleen`, `ascites`, `edema`, `spiders`, `palms`, `albumin`, `proteins`, `platelet`, `inr`, `carcinoma`, `density`, `esr`, `ggtp`, `alt`, `ast`, `hepatalgia`, `pain`, `upper_pain`, `pain_ruq`, `pressure_ruq`, `anorexia`, `nausea`, `flatulence`, `bleeding`, `encephalopathy`, `consciousness`, `urea`, `irregular_liver`, `edge`, `skin`, `joints`, `triglycerides`.
    *   `cirrhosis` causes `ascites`, `edema`, `encephalopathy`, `bleeding`, `inr`, `platelet`, `spleen`, `jaundice`, `bilirubin`, `albumin`, `proteins`, `spiders`, `palms`, `carcinoma`, `irregular_liver`, `density`, `edge`, `hepatomegaly`, `consciousness`, `urea`, `hepatalgia`, `pain`, `upper_pain`, `pain_ruq`, `pressure_ruq`, `anorexia`, `nausea`, `flatulence`.

2.  **Locate `ast` in the Relationships:**
    *   `ast` appears in the list of variables caused by `pbc`.
    *   We need to find if `ast` appears on the left side of the "causes" relationship (i.e., as a parent variable).

3.  **Determine Variables Caused by `ast`:**
    *   Scanning the left side of all provided relationships (`sex`, `pbc`, `cirrhosis`), `ast` is not listed as a cause.
    *   There are no relationships defined where `ast` causes any other variable.

4.  **Conclusion:**
    *   According to the provided text, `ast` does not cause any other variables.

<Answer>none</Answer>
