Based on the provided causal relationships, we need to identify which variables are caused by `itching`.

1.  **Analyze the causal statements:**
    *   `sex` causes `pbc`, `ama`, `alcoholism`.
    *   `pbc` causes `fibrosis`, `cirrhosis`, `bilirubin`, `phosphatase`, `cholesterol`, `itching`, `fatigue`, `jaundice`, `hepatomegaly`, `spleen`, `ascites`, `edema`, `spiders`, `palms`, `albumin`, `proteins`, `platelet`, `inr`, `carcinoma`, `density`, `esr`, `ggtp`, `alt`, `ast`, `hepatalgia`, `pain`, `upper_pain`, `pain_ruq`, `pressure_ruq`, `anorexia`, `nausea`, `flatulence`, `bleeding`, `encephalopathy`, `consciousness`, `urea`, `irregular_liver`, `edge`, `skin`, `joints`, `triglycerides`.
    *   `cirrhosis` causes `ascites`, `edema`, `encephalopathy`, `bleeding`, `inr`, `platelet`, `spleen`, `jaundice`, `bilirubin`, `albumin`, `proteins`, `spiders`, `palms`, `carcinoma`, `irregular_liver`, `density`, `edge`, `hepatomegaly`, `consciousness`, `urea`, `hepatalgia`, `pain`, `upper_pain`, `pain_ruq`, `pressure_ruq`, `anorexia`, `nausea`, `flatulence`.

2.  **Locate `itching` in the relationships:**
    *   `itching` appears in the list of effects caused by `pbc` (`pbc` causes ... `itching` ...).
    *   We need to find statements where `itching` is the *cause* (i.e., on the left side of "causes" or in the list of causes for another variable).
    *   Scanning the provided text, there are no statements where `itching` is listed as a cause for any other variable.

3.  **Determine the variables caused by `itching`:**
    *   Since `itching` does not appear as a cause in any of the provided relationships, there are no variables in the given list that are caused by `itching`.

4.  **Conclusion:**
    *   The set of variables caused by `itching` is empty.

<Answer>None</Answer>
