Based on the provided causal relationships, we need to identify variables that are caused by `joints`.

1.  **Analyze the causal statements:**
    *   `sex` causes `pbc`, `ama`, `alcoholism`.
    *   `pbc` causes `fibrosis`, `cirrhosis`, `bilirubin`, `phosphatase`, `cholesterol`, `itching`, `fatigue`, `jaundice`, `hepatomegaly`, `spleen`, `ascites`, `edema`, `spiders`, `palms`, `albumin`, `proteins`, `platelet`, `inr`, `carcinoma`, `density`, `esr`, `ggtp`, `alt`, `ast`, `hepatalgia`, `pain`, `upper_pain`, `pain_ruq`, `pressure_ruq`, `anorexia`, `nausea`, `flatulence`, `bleeding`, `encephalopathy`, `consciousness`, `urea`, `irregular_liver`, `edge`, `skin`, `joints`, `triglycerides`.
    *   `cirrhosis` causes `ascites`, `edema`, `encephalopathy`, `bleeding`, `inr`, `platelet`, `spleen`, `jaundice`, `bilirubin`, `albumin`, `proteins`, `spiders`, `palms`, `carcinoma`, `irregular_liver`, `density`, `edge`, `hepatomegaly`, `consciousness`, `urea`, `hepatalgia`, `pain`, `upper_pain`, `pain_ruq`, `pressure_ruq`, `anorexia`, `nausea`, `flatulence`.

2.  **Search for `joints` as a cause:**
    *   We look for any statement where `joints` appears on the left side of the "causes" relationship (i.e., "`joints` causes ...").
    *   Scanning the provided text, `joints` appears only on the right side of the `pbc` relationship (as an effect of `pbc`).
    *   There are no statements indicating that `joints` causes any other variable.

3.  **Conclusion:**
    *   There are no variables caused by `joints` according to the provided information.

<Answer>None</Answer>
