demographic: sex,age
alcohol_use: alcohol,alcoholism
toxic_exposure: alcohol,alcoholism,hepatotoxic
parenteral_exposure: injections,transfusion
medical_history: hospital,surgery,transfusion,vh_amn
procedural_intervention: surgery,choledocholithotomy
biliary_condition: gallstones,PBC,choledocholithotomy
hepatitis_diagnosis: THepatitis,ChHepatitis,RHepatitis
viral_hepatitis_context: vh_amn,THepatitis,ChHepatitis,RHepatitis,hbsag,hbsag_anti,hbc_anti,hcv_anti,hbeag
viral_serology: hbsag,hbsag_anti,hbc_anti,hcv_anti,hbeag
hepatitis_b_marker: hbsag,hbsag_anti,hbc_anti,hbeag
hepatitis_c_marker: hcv_anti
chronic_liver_disorder: ChHepatitis,PBC,fibrosis,Steatosis,Cirrhosis,carcinoma
metabolic_disorder: diabetes,obesity,Steatosis,triglycerides,cholesterol,fat
structural_liver_change: fibrosis,Cirrhosis,density,edge,irregular_liver
malignancy: carcinoma
cholestasis: Hyperbilirubinemia,bilirubin,phosphatase,ggtp,itching,jaundice
bilirubin_related: Hyperbilirubinemia,bilirubin,jaundice
hepatocellular_injury: alt,ast,THepatitis,ChHepatitis,RHepatitis
cholestatic_enzyme: phosphatase,ggtp
pancreatic_enzyme: amylase
lipid_marker: triglycerides,cholesterol
protein_marker: proteins,albumin
coagulation: platelet,inr,bleeding
renal_marker: urea
inflammation_marker: ESR
autoimmune_marker: ama,le_cells
autoimmune_related: PBC,ama,le_cells,joints,ESR
constitutional_symptom: fatigue,anorexia,nausea
gastrointestinal_symptom: nausea,flatulence,upper_pain,pain,hepatalgia
pain_symptom: pain,upper_pain,pain_ruq,pressure_ruq,hepatalgia,joints
ruq_symptom: upper_pain,pain_ruq,pressure_ruq,hepatalgia
cutaneous_manifestation: itching,skin,spiders,jaundice,palms
fluid_retention: edema,ascites
encephalopathy_feature: encephalopathy,consciousness
portal_hypertension_feature: ascites,spleen,platelet,edema,bleeding,spiders
liver_exam_finding: hepatomegaly,hepatalgia,edge,irregular_liver,density
organ_enlargement: hepatomegaly,spleen
hepatic_decompensation: Cirrhosis,ascites,encephalopathy,edema,bleeding,consciousness,albumin,inr
